,dates,titles,tag,descriptions
546,"March 3, 2020",ICE arrests Guatemalan national released from NYC custody with an active detainer,|Enforcement and Removal,"Miguel Federico Ajqui-Ajtzalam was arrested by the NYPD Feb. 27, on the charges of felony rape in the 2nd, sexual abuse in the 2nd for sexual contact with a person less than 14 yrs., and act in manner to injure a child less than 17 yrs."
547,"March 3, 2020",Orange County man arrested on charges of traveling out of state to engage in illicit sexual acts with minors and producing child pornography,|Child Exploitation,"Daniel Seibert, 28, of Lake Forest, was taken into custody this morning by HSI special agents, and is expected to make his initial appearance tomorrow afternoon in U.S. District Court in Santa Ana."
548,"March 2, 2020",Chinese national convicted of laundering drug money for traffickers in Mexico,"|Narcotics, Financial Crimes","On three occasions in 2018, Xianbing Gan schemed to have narcotics proceeds totaling about $534,206 picked up in Chicago and transferred to various bank accounts in China, in order for the money to ultimately be remitted to drug traffickers in Mexico."
549,"March 2, 2020",2 Chinese nationals charged with laundering $100 million in cryptocurrency,|Financial Crimes,"This case was investigated by the U.S. Immigration and Customs Enforcement's (ICE) Homeland Security Investigations (HSI) and Enforcement and Removal Operations (ERO), FBI, and the IRS – Criminal Investigation Division. The Korean National Police of the Republic of Korea provided assistance and coordinated with their parallel investigation. U.S. Attorney Timothy J. Shea, of the District of Columbia, announced the indictment."
550,"February 28, 2020",Prince George's County man sentenced to 22 years in federal prison for sex trafficking of a minor,|Child Exploitation,"U.S. District Judge Catherine C. Blake today sentenced Rody L. Bowden, age 41, of Prince George’s County, Maryland, to 22 years in federal prison, followed by lifetime supervised release, on the charge of sex trafficking of a minor."
551,"February 28, 2020","ICE arrests Mexican national with DUI conviction in Pine Plains, NY",|Enforcement and Removal,"On Feb. 26, ICE Enforcement and Removals Operations (ERO) officers arrested Leobardo Saldana Florentino in Pine Plains without incident. ICE officers originally encountered Florentino in March 2019 in Hudson. During that encounter, an individual interfered with the enforcement action against Florentino, causing ICE officers to instead depart the scene in the interest of public safety. Florentino has a June 2018 DUI conviction."
552,"February 28, 2020",ICE arrests Dominican national involved in $7M fentanyl ring released from local custody under New York’s Bail Reform Act,|Enforcement and Removal,"Livio Alexander Valdez Zabala, entered the U.S. March 12 as a nonimmigrant visitor with authorization to remain until Sept. 11. Valdez Zabala, however, failed to depart the U.S. in accordance with the terms of his admission."
553,"February 28, 2020",6 New Mexico residents arrested in conspiracy to distribute crack cocaine,|Narcotics,"Jose Mendoza, 32, and Natalie Mendoza, 35, of Medanales, New Mexico; Ryan Rodriguez, 27, of Chamita, New Mexico; Andrea Rodriguez, 28, and Edvardo Carlson, 39, of Española, New Mexico; and Bridget Archuleta, 31, of San Juan Pueblo, New Mexico, appeared in federal court Friday for arraignment on an indictment charging them with various drug trafficking offenses involving crack cocaine (cocaine base) in Rio Arriba County, New Mexico, from Oct. 2, 2019, to Feb. 25, 2020."
554,"February 27, 2020",Man arrested for sexually assaulting toddler at fast food restaurant should have been turned over to ICE in 2019,"|Enforcement and Removal, Child Exploitation","That detainer was not honored and on Feb. 19, 2020, Puente was once again arrested, except this time it was for sexually assaulting a 3-year-old at a fast food restaurant."
555,"February 27, 2020",Washington County provides criminal alien information previously refused under Oregon sanctuary policies,|Enforcement and Removal,"ICE uses statutorily-established subpoenas to obtain information as part of investigations regarding potentially removable aliens. Historically, ICE has not needed to use its subpoena authority to obtain information from other law enforcement agencies as most law enforcement agencies throughout the country willingly exchange information with ICE regarding aliens arrested for crimes in the interest of public safety and law enforcement."
556,"February 26, 2020",Accused Hungarian sex trafficker arrested by ICE during enforcement efforts,|Enforcement and Removal,"A Hungarian national, who has pending charges for sex trafficking and previous sex convictions was arrested last week by U.S. Immigration and Customs Enforcement’s (ICE) Enforcement and Removal Operations (ERO) during ongoing enforcement efforts in New York City and the surrounding region, targeting at-large criminal aliens, illegal re-entrants and other immigration violators."
557,"February 26, 2020",ICE removes man convicted of unlawful export of firearm components,"|Counter Proliferation Investigation Unit, Enforcement and Removal","On Feb. 24, U.S. Immigration and Customs Enforcement’s (ICE) Enforcement and Removal Operations (ERO) removed Thai national Apichart Srivaranon, 35, to Thailand."
558,"February 26, 2020","Nebraska company, businessman plead guilty to harboring, aiding and abetting",|Worksite Enforcement,"O’Neill Ventures, Inc., a tomato greenhouse and packing plant in O’Neill, Nebraska, entered a felony guilty plea in federal court to conspiracy to harbor undocumented aliens. The plea was entered before U.S. Magistrate Judge Cheryl R. Zwart."
559,"February 26, 2020",3 South Texas businesses partner with ICE HSI's IMAGE program,|Worksite Enforcement,"IMAGE is a nationwide program that assists employers, strengthens hiring practices and curtails the employment of unauthorized workers through outreach, education and partnership."
560,"February 26, 2020",Misinformation concerning ICE operations generates unnecessary fear in local community,|Enforcement and Removal,"ICE encourages public leaders, advocacy groups and the community to share accurate information to ensure the safety of both those utilizing public transportation and those charged with ensuring their safety while aboard."
561,"February 26, 2020",Georgia man sentenced for transporting drugs disguised as children's candy,|Narcotics,"Cleveland James McKinney, 30, of Atlanta, was sentenced to 151 months in federal prison Tuesday, followed by five years of supervised release, for illegally transporting 41.97 kilograms of 100% pure methamphetamine and 4.5 kilograms of heroin that had been smuggled into the United States from Mexico."
562,"February 26, 2020",Post Falls women sentenced to 10 years for murder for hire plot,|Operational,"Katrina (Katie) Lynn Danforth, 32, of Post Falls, Idaho, was sentenced in U.S. District Court to 120 months in federal prison for use of interstate commerce facilities in commission of murder for hire."
563,"February 26, 2020","Guatemalan national convicted of kidnapping, murder charged with re-entry ",|Enforcement and Removal,"Ingrid Corzo-Armas, 49, who had previously been convicted and served a state prison sentence in California on kidnapping and murder charges, was charged with one-count of illegal reentry by the Office of U.S. Attorney for the District of Massachusetts Andrew E. Lelling."
564,"February 25, 2020","DHS OIG: When agencies cooperate, ICE successfully identifies, arrests criminal aliens through ICE Criminal Alien Program",|Enforcement and Removal,"As a result of the lack of cooperation, ICE has shifted resources, especially in uncooperative jurisdictions, to conduct more at-large arrests in the community. "
565,"February 25, 2020","ICE HSI, USMS joint investigation puts Twin Falls man behind bars for 60 years for producing child pornography",|Child Exploitation,"Seth Anthony Johnson, 35, of Twin Falls, Idaho, was sentenced in U.S. District Court to 60 years in prison for sexual exploitation of a minor, possession of child pornography, and sexual exploitation of minor after a prior conviction for a felony sex offense, HSI Seattle acting SAC Eben Roberts and U.S. Attorney Bart M. Davis announced today."
